TARA_ARC_108_MAG_00174_000000000001_1	iJN1463.PP_1088	90.0	20	2	0	1	20	1	20	9.42e-06	38.1
TARA_ARC_108_MAG_00174_000000000001_1	iAF987.Gmet_0206	83.3	18	3	0	3	20	7	24	1.16e-04	35.0
TARA_ARC_108_MAG_00174_000000000002_1	iJN1463.PP_0368	37.9	396	232	9	1	391	211	597	9.06e-72	235
TARA_ARC_108_MAG_00174_000000000002_1	iJN1463.PP_2048	38.4	393	229	7	1	391	208	589	2.83e-71	233
TARA_ARC_108_MAG_00174_000000000002_1	iAF987.Gmet_2211	36.5	384	225	4	1	367	210	591	6.50e-71	233
TARA_ARC_108_MAG_00174_000000000002_1	iAF987.Gmet_2270	34.9	375	229	5	1	361	210	583	5.85e-66	220
TARA_ARC_108_MAG_00174_000000000002_1	iEK1008.Rv0244c	35.5	403	246	7	1	391	211	611	2.07e-65	218
TARA_ARC_108_MAG_00174_000000000002_2	iCN718.ABAYE_RS14225	44.1	256	142	1	4	259	8	262	1.09e-71	220
TARA_ARC_108_MAG_00174_000000000002_3	iCN718.ABAYE_RS10300	58.8	400	158	3	1	399	1	394	3.40e-170	482
TARA_ARC_108_MAG_00174_000000000002_11	STM_v1_0.STM3673	28.0	293	196	7	47	333	29	312	4.74e-29	114
TARA_ARC_108_MAG_00174_000000000002_11	iML1515.b3579	27.0	289	204	4	47	333	29	312	1.26e-28	113
TARA_ARC_108_MAG_00174_000000000002_14	iEK1008.Rv3084	37.5	256	153	5	45	295	43	296	1.23e-47	161
TARA_ARC_108_MAG_00174_000000000002_16	iAF987.Gmet_2727	37.9	103	64	0	112	214	293	395	6.62e-18	80.9
TARA_ARC_108_MAG_00174_000000000002_17	iJN1463.PP_5155	74.8	409	103	0	1	409	1	409	7.98e-223	615
TARA_ARC_108_MAG_00174_000000000002_18	iMM904.YDL178W	36.4	450	265	8	41	476	86	528	5.21e-88	278
TARA_ARC_108_MAG_00174_000000000002_19	STM_v1_0.STM1221	49.5	206	95	4	5	203	43	246	5.49e-54	174
TARA_ARC_108_MAG_00174_000000000002_22	iMM904.YGL119W	32.1	371	243	7	54	420	119	484	3.32e-44	160
TARA_ARC_108_MAG_00174_000000000002_23	iCHOv1.100766004	38.5	200	122	1	21	219	17	216	2.54e-47	155
TARA_ARC_108_MAG_00174_000000000002_24	iAF987.Gmet_1422	50.0	172	84	1	6	177	2	171	3.05e-60	184
TARA_ARC_108_MAG_00174_000000000002_24	iJN1463.PP_4266	51.2	170	83	0	8	177	8	177	4.06e-58	179
TARA_ARC_108_MAG_00174_000000000002_24	iSF_1195.SF0414	47.7	174	91	0	6	179	9	182	1.19e-57	178
TARA_ARC_108_MAG_00174_000000000002_24	iML1515.b0469	47.7	174	91	0	6	179	9	182	2.40e-57	177
TARA_ARC_108_MAG_00174_000000000002_24	iSbBS512_1146.SbBS512_E0401	47.7	174	91	0	6	179	9	182	2.40e-57	177
TARA_ARC_108_MAG_00174_000000000002_24	iSDY_1059.SDY_0450	47.7	174	91	0	6	179	9	182	2.40e-57	177
